══════════════════════
npx cdk destroy --all --force --context config-path=/Users/alessandrovolpicella/repo/cloudfront-toolkit-vite/cloudfront-hosting-toolkit 


══════════════════════

hosting-main-cloudfront-toolkit-vite-main: destroying... [1/2]
hosting-main-cloudfront-toolkit-vite-main |   4 | 10:05:48 | DELETE_IN_PROGRESS   | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/MyPipeline/Sources/GitHub-Source-cloudfront-toolkit-vite/CodePipelineActionRole/DefaultPolicy (HostingPipelineInfrastructureMyPipelineSourcesGitHubSourcecloudfronttoolkitviteCodePipelineActionRoleDefaultPolicy7A88012B) 
hosting-main-cloudfront-toolkit-vite-main |   4 | 10:05:48 | DELETE_IN_PROGRESS   | AWS::S3::BucketPolicy                  | Hosting/HostingInfrastructure/HostingBucket/Policy (HostingHostingInfrastructureHostingBucketPolicy905DD8E2) 
hosting-main-cloudfront-toolkit-vite-main |   4 | 10:05:48 | DELETE_IN_PROGRESS   | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/Project/Role/DefaultPolicy (HostingPipelineInfrastructureProjectRoleDefaultPolicyC3411297) 
hosting-main-cloudfront-toolkit-vite-main |   4 | 10:05:48 | DELETE_IN_PROGRESS   | Custom::LogRetention                   | Hosting/PipelineInfrastructure/UpdateCFF/DeleteOldDeployments/LogRetention (HostingPipelineInfrastructureUpdateCFFDeleteOldDeploymentsLogRetentionA1B2D84E) 
hosting-main-cloudfront-toolkit-vite-main |   4 | 10:05:48 | DELETE_IN_PROGRESS   | AWS::SSM::Parameter                    | Hosting/PipelineInfrastructure/SSMPipelineName (HostingPipelineInfrastructureSSMPipelineName8B6DD00A) 
hosting-main-cloudfront-toolkit-vite-main |   5 | 10:05:49 | DELETE_COMPLETE      | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/MyPipeline/ChangeUri/Invoke/CodePipelineActionRole/DefaultPolicy (HostingPipelineInfrastructureMyPipelineChangeUriInvokeCodePipelineActionRoleDefaultPolicyE3E98FC9) 
hosting-main-cloudfront-toolkit-vite-main |   6 | 10:05:49 | DELETE_COMPLETE      | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/MyPipeline/Sources/GitHub-Source-cloudfront-toolkit-vite/CodePipelineActionRole/DefaultPolicy (HostingPipelineInfrastructureMyPipelineSourcesGitHubSourcecloudfronttoolkitviteCodePipelineActionRoleDefaultPolicy7A88012B) 
hosting-main-cloudfront-toolkit-vite-main |   7 | 10:05:49 | DELETE_COMPLETE      | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/MyPipeline/Build/Build-And-Copy-to-S3-cloudfront-toolkit-vite/CodePipelineActionRole/DefaultPolicy (HostingPipelineInfrastructureMyPipelineBuildBuildAndCopytoS3cloudfronttoolkitviteCodePipelineActionRoleDefaultPolicy40C500E6) 
hosting-main-cloudfront-toolkit-vite-main |   8 | 10:05:49 | DELETE_COMPLETE      | AWS::IAM::Policy                       | Hosting/PipelineInfrastructure/Project/Role/DefaultPolicy (HostingPipelineInfrastructureProjectRoleDefaultPolicyC3411297) 
hosting-main-cloudfront-toolkit-vite-main |   9 | 10:05:49 | DELETE_COMPLETE      | AWS::SSM::Parameter                    | Hosting/PipelineInfrastructure/SSMPipelineName (HostingPipelineInfrastructureSSMPipelineName8B6DD00A) 
hosting-main-cloudfront-toolkit-vite-main |  10 | 10:05:49 | DELETE_COMPLETE      | AWS::CDK::Metadata                     | CDKMetadata/Default (CDKMetadata) 
hosting-main-cloudfront-toolkit-vite-main |  11 | 10:05:49 | DELETE_COMPLETE      | AWS::SSM::Parameter                    | Hosting/HostingInfrastructure/SSMConnectionRegion (HostingHostingInfrastructureSSMConnectionRegionA72A0577) 
hosting-main-cloudfront-toolkit-vite-main |  12 | 10:05:49 | DELETE_COMPLETE      | AWS::S3::BucketPolicy                  | Hosting/HostingInfrastructure/HostingBucket/Policy (HostingHostingInfrastructureHostingBucketPolicy905DD8E2) 
hosting-main-cloudfront-toolkit-vite-main |  12 | 10:05:49 | DELETE_IN_PROGRESS   | AWS::CloudFront::Distribution          | Hosting/HostingInfrastructure/Distribution (HostingHostingInfrastructureDistribution2FE26CAE) 
hosting-main-cloudfront-toolkit-vite-main |  12 | 10:05:49 | DELETE_IN_PROGRESS   | AWS::CodePipeline::Pipeline            | Hosting/PipelineInfrastructure/MyPipeline (HostingPipelineInfrastructureMyPipelineFC5FDDD0) 
